18:31; Temperature: -15
18:31; Pressure: 724
18:31; Wind_speed: 6

18:31 Temperature: -15
18:31 Pressure: 722
18:31 Wind_speed: 5

18:33 Temperature: -6
18:33 Pressure: 734
18:33 Wind_speed: 7

18:38 Temperature: -17
18:38 Pressure: 749
18:38 Wind_speed: 15

18:38 Temperature: -10
18:38 Pressure: 745
18:38 Wind_speed: 28

18:38 Temperature: -17
18:38 Pressure: 738
18:38 Wind_speed: 26

18:38 Temperature: -9
18:38 Pressure: 728
18:38 Wind_speed: 10

18:40 Temperature: -18
18:40 Pressure: 738
18:40 Wind_speed: 20

18:40 Temperature: -20
18:44 Temperature: -4
18:44 Pressure: 726
18:44 Wind_speed: 28

18:44 Temperature: -16
18:44 Pressure: 728
18:44 Wind_speed: 14

18:45 Temperature: -4
18:45 Pressure: 722
18:45 Wind_speed: 26

18:45 Temperature: -17
18:45 Pressure: 750
18:45 Wind_speed: 0

18:45 Temperature: -2
18:45 Pressure: 725
18:45 Wind_speed: 16

18:45 Temperature: -10
18:45 Pressure: 747
18:45 Wind_speed: 13

